State,District Name,Market
Andhra Pradesh,Visakhapatnam,Seethammadhara(Rythu Bazar)
Andhra Pradesh,Visakhapatnam,Bhimunipatnam
Andhra Pradesh,Visakhapatnam,Narsipatnam
Andhra Pradesh,Visakhapatnam,Visakhapatnam
Andhra Pradesh,Visakhapatnam,Chintapally
Andhra Pradesh,Visakhapatnam,Paderu
Andhra Pradesh,Visakhapatnam,Yellamanchili
Andhra Pradesh,West Godavari,Achanta
Andhra Pradesh,West Godavari,Eluru
Andhra Pradesh,West Godavari,Penugonda
Andhra Pradesh,West Godavari,Akiveedu
Andhra Pradesh,West Godavari,Gopalavaram
Andhra Pradesh,West Godavari,Polavaram
Andhra Pradesh,West Godavari,Attili
Andhra Pradesh,West Godavari,Kovvur
Andhra Pradesh,West Godavari,Tadepalligudem
Andhra Pradesh,West Godavari,Bhimadole
Andhra Pradesh,West Godavari,Narsapuram
Andhra Pradesh,West Godavari,Tanuku
Andhra Pradesh,West Godavari,Bhimavaram
Andhra Pradesh,West Godavari,Palakole
Andhra Pradesh,West Godavari,Undi
Andhra Pradesh,West Godavari,Chintalapudi
Andhra Pradesh,West Godavari,Pathebad(Rythu Bazar)
Andhra Pradesh,West Godavari,Ungatur
Andhra Pradesh,West Godavari,Denduluru
Arunachal Pradesh,Changlang,Miao
Arunachal Pradesh,East Kameng,Seppa
Arunachal Pradesh,East Siang,Pasighat
Arunachal Pradesh,Lohit,Anjaw
Arunachal Pradesh,Lohit,Tezu
Arunachal Pradesh,Lower Dibang Valley,Roing
Arunachal Pradesh,Lower Subansiri,Ziro
Arunachal Pradesh,Papum Pore,Kurung Kumey
Arunachal Pradesh,Papum Pore,Naharlagun
Arunachal Pradesh,Tawang,Tawang
Arunachal Pradesh,Tirap,Khonsa
Arunachal Pradesh,Upper Siang,Yingkiong
Arunachal Pradesh,Upper Subansiri,Daporijo
Arunachal Pradesh,West Kameng,Bomdila
Arunachal Pradesh,West Siang,Along
Assam,Bangaigaon,Bongiagaon
Assam,Barpeta,Bohorihat
Assam,Barpeta,Howly
Assam,Cachar,Cachar
Assam,Darrang,Kharupetia
Assam,Dhemaji,Silapathar
Assam,Dhubri,Gauripur
Assam,Dibrugarh,Dibrugarh
Assam,Goalpara,Goalpara
Assam,Golaghat,Golaghat
Assam,Hailakandi,Hailakandi
Assam,Jorhat,Jorhat
Assam,Kamrup,Goreswar
Assam,Kamrup,P.O. Uparhali Guwahati
Assam,Kamrup,Pamohi(Garchuk)
Assam,Karimganj,Karimganj
Assam,Kokrajhar,Srirampur
Assam,Lakhimpur,North Lakhimpur
Assam,Marigaon,Kushtholy
Assam,Nagaon,Dhing
Assam,Nagaon,Lanka
Assam,Nalbari,Nalbari
Assam,Sibsagar,Sivasagar
Assam,Sonitpur,Dhekiajuli
Assam,Tinsukia,Tinsukia
Bihar,Araria,Arreria
Bihar,Araria,Forbesganj
Bihar,Araria,Raniganj
Bihar,Arwal,Arwal
Bihar,Aurangabad,Aurangabad
Bihar,Aurangabad,Daunagar
Bihar,Aurangabad,Kutumba
Bihar,Banka,Amarpur
Bihar,Banka,Barahat
Bihar,Banka,Rajaun
Bihar,Begusarai,Balliah
Bihar,Begusarai,Begusarai
Bihar,Begusarai,Teghra
Bihar,Bhagalpur,Bhagalpur
Bihar,Bhagalpur,Kahalgaon
Bihar,Bhagalpur,Naugachiya
Bihar,Bhagalpur,Bihpur
Bihar,Bhojpur,Aarah
Bihar,Bhojpur,Bihiya
Bihar,Bhojpur,Piro
Bihar,Buxar,Brahmpur
Bihar,Buxar,Buxur
Bihar,Buxar,Dumarao
Bihar,Chhapra,Chhapra
Bihar,Darbhanga,Bahadurpur (Ekmi Ghat)
Bihar,Darbhanga,Biraul
Bihar,Darbhanga,Darbhanga
Bihar,Darbhanga,Benipir
Bihar,East Champaran/ Motihari,Chakia
Bihar,East Champaran/ Motihari,Motihari
Bihar,East Champaran/ Motihari,Raxaul
Bihar,East Champaran/ Motihari,Madhuban
Bihar,Gaya,Gaya
Bihar,Gaya,Tekari
Bihar,Gopalgang,Gopalganj
Bihar,Jamui,Jamui
Bihar,Jamui,Sikandara
Bihar,Jehanabad,Jehanabad
Bihar,Kaimur/Bhabhua,Kaimur
Bihar,Kaimur/Bhabhua,Mohana
Bihar,Kaithar,Barari
Bihar,Kaithar,"Gerabari, Korha Block"
Bihar,Kaithar,Katihar
Bihar,Kaithar,Barsoi
Bihar,Khagaria,Khagaria
Bihar,Khagaria,Mansi Mandi
Bihar,Kishanganj,Bahadurganj
Bihar,Kishanganj,Kishanganj
Bihar,Kishanganj,Thakurganj
Bihar,Luckeesarai,Lakhisarai
Bihar,Luckeesarai,Surjyagarha
Bihar,Madhepura,Bihariganj
Bihar,Madhepura,Murliganj
Bihar,Madhepura,Singheswarsthan
Bihar,Madhubani,Benipatti
Bihar,Madhubani,Jainagar
Bihar,Madhubani,Madhubani
Bihar,Madhubani,Jahajharpur
Bihar,Munghair,Munghair
Bihar,Muzaffarpur,Bhagwanpur Mandi
Bihar,Muzaffarpur,Muzaffarpur
Bihar,Nalanda,Biharsharif
Bihar,Nalanda,Harnaut
Bihar,Nawada,Nawada
Bihar,Nawada,Rajauli
Bihar,Patna,Bihta
Bihar,Patna,Mokama
Bihar,Patna,Patna City
Bihar,Patna,Danapur
Bihar,Patna,Patna (Musallahpur)
Bihar,Purnea,Bhawanipur
Bihar,Purnea,Gulabbagh
Bihar,Purnea,Kaswa
Bihar,Rohtas,Dehri
Bihar,Rohtas,Natwar
Bihar,Rohtas,Sasaram
Bihar,Rohtas,Kochas (Balthari)
Bihar,Rohtas,Nokha
Bihar,Rohtas,Vikramganj
Bihar,Saharsa,Saharsa
Bihar,Samastipur,Saidpurhat
Bihar,Samastipur,Samastipur
Bihar,Samastipur,Tajpur
Bihar,Saran,Sonpur
Bihar,Sheikhpura,Barbigha
Bihar,Sheikhpura,Shekhpura
Bihar,Sheohar,Sheohar
Bihar,Sitamarhi,Sitamarhi
Bihar,Siwan,Maharjganj
Bihar,Siwan,Siwan
Bihar,Supaul,Birpur
Bihar,Supaul,Supaul
Bihar,Supaul,Triveniganj
Bihar,Vaishali,Hajipur
Bihar,Vaishali,"Parsoniya Mandi, Mahua block"
Bihar,Vaishali,"Pateri Belchar Mandi, Bhagwanpur block"
Bihar,Vaishali,"Jaitipir Mandi, Lalganj block"
Bihar,West Chambaran,Bettiah
Bihar,West Chambaran,Narkatiaganj
Bihar,West Chambaran,Ramnagar
Chandigarh,Chandigarh,Chandigarh(Grain/Fruit)
Chattisgarh,Balod,Balod
Chattisgarh,Balod,Dondilohara
Chattisgarh,Balod,Gurur
Chattisgarh,Balod,Dondi
Chattisgarh,Balodabazar,Balodabazar
Chattisgarh,Balodabazar,Kasdol
Chattisgarh,Balodabazar,Sarsiwan
Chattisgarh,Balodabazar,Bhatapara
Chattisgarh,Balodabazar,Palari
Chattisgarh,Balodabazar,Simga
Chattisgarh,Balodabazar,Bhatgaon
Chattisgarh,Balodabazar,Pangaon
Chattisgarh,Balrampur,Bariya
Chattisgarh,Balrampur,Rajpur
Chattisgarh,Balrampur,Ramanujganj
Chattisgarh,Balrampur,Kusmee
Chattisgarh,Bastar,Bastar
Chattisgarh,Bastar,Jaitgiri
Chattisgarh,Bastar,Muli
Chattisgarh,Bastar,Devda
Chattisgarh,Bastar,Karpawand
Chattisgarh,Bastar,Tokapal
Chattisgarh,Bastar,Jagdalpur
Chattisgarh,Bastar,Lohandiguda
Chattisgarh,Bemetara,Bemetara
Chattisgarh,Bemetara,Bemetara(Thankhamaria)
Chattisgarh,Bemetara,Saja
Chattisgarh,Bemetara,Bemetara(Darhi)
Chattisgarh,Bemetara,Berla
Chattisgarh,Bemetara,Sambalpur (Bemetra)
Chattisgarh,Bemetara,Bemetara(Navagarh)
Chattisgarh,Bijapur,Bharamgarh
Chattisgarh,Bijapur,Bhopalpattnam
Chattisgarh,Bijapur,Bijapur
Chattisgarh,Bilaspur,Bartori
Chattisgarh,Bilaspur,Gaurella
Chattisgarh,Bilaspur,Ratanpur
Chattisgarh,Bilaspur,Beltara
Chattisgarh,Bilaspur,Jairamnagar
Chattisgarh,Bilaspur,Sakri
Chattisgarh,Bilaspur,Bilaspur
Chattisgarh,Bilaspur,Kota
Chattisgarh,Bilaspur,Takhatpur
Chattisgarh,Bilaspur,Bilha
Chattisgarh,Bilaspur,Pendraroad
Chattisgarh,Bilaspur,Tiphra
Chattisgarh,Dantewada,Gidam
Chattisgarh,Dhamtari,Aamdi
Chattisgarh,Dhamtari,Bhendri
Chattisgarh,Dhamtari,Kurud
Chattisgarh,Dhamtari,Belarbahara
Chattisgarh,Dhamtari,Boraee
Chattisgarh,Dhamtari,Magarload
Chattisgarh,Dhamtari,Belargaon
Chattisgarh,Dhamtari,Chhati
Chattisgarh,Dhamtari,Nagari
Chattisgarh,Dhamtari,Belora
Chattisgarh,Dhamtari,Dhamtari
Chattisgarh,Dhamtari,Risgaon
Chattisgarh,Dhamtari,Bhakhara
Chattisgarh,Dhamtari,Gattasilli
Chattisgarh,Dhamtari,Sirri
Chattisgarh,Durg,Ahivara
Chattisgarh,Durg,Durg
Chattisgarh,Durg,Patan
Chattisgarh,Durg,Dhamdha
Chattisgarh,Durg,Khamhariya
Chattisgarh,Gariyaband,Chura
Chattisgarh,Gariyaband,Gariyaband
Chattisgarh,Gariyaband,Rajim
Chattisgarh,Gariyaband,Devbhog
Chattisgarh,Gariyaband,Phingeshwer
Chattisgarh,Janjgir,Akaltara
Chattisgarh,Janjgir,Champa
Chattisgarh,Janjgir,Naila
Chattisgarh,Janjgir,Amadula
Chattisgarh,Janjgir,Chandrapur
Chattisgarh,Janjgir,Rahod
Chattisgarh,Janjgir,Baloda(Janjgir Campus)
Chattisgarh,Janjgir,Hasoad
Chattisgarh,Janjgir,Shakti
Chattisgarh,Janjgir,Baradwar
Chattisgarh,Janjgir,Jaijaipur
Chattisgarh,Janjgir,Shivrinarayanpur
Chattisgarh,Janjgir,Birra
Chattisgarh,Janjgir,Kotmi
Chattisgarh,Jashpur,Jaspur
Chattisgarh,Jashpur,Kunkuri
Chattisgarh,Jashpur,Pathalgaon
Chattisgarh,Jashpur,Kotba
Chattisgarh,Kabirdham,Biranpur kalan (Sahaspur Lohra)
Chattisgarh,Kabirdham,Kunda
Chattisgarh,Kabirdham,Pipriya
Chattisgarh,Kabirdham,Kawardha
Chattisgarh,Kabirdham,Pandariya
Chattisgarh,Kanker,Amoda
Chattisgarh,Kanker,Dudhawa
Chattisgarh,Kanker,Narharpur
Chattisgarh,Kanker,Antagarh
Chattisgarh,Kanker,Kanker
Chattisgarh,Kanker,Pakhanjur
Chattisgarh,Kanker,Bardewri
Chattisgarh,Kanker,Korar
Chattisgarh,Kanker,Sambalpur
Chattisgarh,Kanker,Bhanupratappur
Chattisgarh,Kanker,Lakhanpuri
Chattisgarh,Kanker,Sarona
Chattisgarh,Kanker,Charama
Chattisgarh,Kondagaon,Bededonger
Chattisgarh,Kondagaon,Hirapur
Chattisgarh,Kondagaon,Mardapal
Chattisgarh,Kondagaon,Chhinari
Chattisgarh,Kondagaon,Keshkal
Chattisgarh,Kondagaon,Pharasgaon
Chattisgarh,Kondagaon,Dhanora
Chattisgarh,Kondagaon,Kondagoan
Chattisgarh,Kondagaon,Vishrampur
Chattisgarh,Kondagaon,Gamhari
Chattisgarh,Kondagaon,Makdi
Chattisgarh,Korba,Bhaisma
Chattisgarh,Korba,Katghora
Chattisgarh,Korba,Kathghora(Kharmora)
Chattisgarh,Koria,Baikunthpur
Chattisgarh,Koria,Manendragarh
Chattisgarh,Mahasamund,Bagbahra
Chattisgarh,Mahasamund,Bhurkoni
Chattisgarh,Mahasamund,Sakra
Chattisgarh,Mahasamund,Baloda
Chattisgarh,Mahasamund,Jhalap
Chattisgarh,Mahasamund,Sarayapali
Chattisgarh,Mahasamund,Basana
Chattisgarh,Mahasamund,Komakhan
Chattisgarh,Mahasamund,Sindhanpur
Chattisgarh,Mahasamund,Bhavarpur
Chattisgarh,Mahasamund,Mahasamund
Chattisgarh,Mahasamund,Tendukona
Chattisgarh,Mahasamund,Bheemkhoj
Chattisgarh,Mahasamund,Pirda
Chattisgarh,Mahasamund,Toshgaon
Chattisgarh,Mahasamund,Bhoring
Chattisgarh,Mahasamund,Pithoura
Chattisgarh,Mungeli,Lormi
Chattisgarh,Mungeli,Pathriya
Chattisgarh,Mungeli,Sargaon
Chattisgarh,Mungeli,Munguli
Chattisgarh,Narayanpur,Narayanpur
Chattisgarh,Raigarh,Baramkela
Chattisgarh,Raigarh,Kedar
Chattisgarh,Raigarh,Salihabhata
Chattisgarh,Raigarh,Chikhli
Chattisgarh,Raigarh,Kharsiya
Chattisgarh,Raigarh,Sarangarh
Chattisgarh,Raigarh,Dharamjaygarh
Chattisgarh,Raigarh,Pusor
Chattisgarh,Raigarh,Sariya
Chattisgarh,Raigarh,Gharghoda
Chattisgarh,Raigarh,Raigarh
Chattisgarh,Raipur,Abhanpur
Chattisgarh,Raipur,Mandirhasoad
Chattisgarh,Raipur,Raipur
Chattisgarh,Raipur,Arang
Chattisgarh,Raipur,Navagaon
Chattisgarh,Raipur,Silyari
Chattisgarh,Raipur,Bhaisa
Chattisgarh,Raipur,Navapara
Chattisgarh,Raipur,Tulsi
Chattisgarh,Raipur,Kharora
Chattisgarh,Raipur,Neora
Chattisgarh,Rajnandgaon,Ambagarh Chowki
Chattisgarh,Rajnandgaon,Dongargaon
Chattisgarh,Rajnandgaon,Kheragarh
Chattisgarh,Rajnandgaon,Bandhabazar
Chattisgarh,Rajnandgaon,Dongargarh
Chattisgarh,Rajnandgaon,Patewa
Chattisgarh,Rajnandgaon,Bazar Atriya
Chattisgarh,Rajnandgaon,Gandai
Chattisgarh,Rajnandgaon,Rajnandgaon
Chattisgarh,Rajnandgaon,Chhuria
Chattisgarh,Sukma,Doranpal
Chattisgarh,Sukma,Kukanar
Chattisgarh,Sukma,Sukma
Chattisgarh,Sukma,Konta
Chattisgarh,Surajpur,Pratappur
Chattisgarh,Surajpur,Surajpur
Chattisgarh,Surguja,Ambikapur
Chattisgarh,Surguja,Raghunathpur
Chattisgarh,Surguja,Udaypur
Chattisgarh,Surguja,Kakni
Chattisgarh,Surguja,Sitapur
Goa,North Goa,Mapusa
Goa,North Goa,Ponda
Goa,North Goa,Valpol
Goa,North Goa,Pernem
Goa,North Goa,Sanquelim
Goa,South Goa,Canacona
Goa,South Goa,Curchorem
Goa,South Goa,Margao
Gujarat,Ahmedabad,Ahmedabad
Gujarat,Ahmedabad,Bavla
Gujarat,Ahmedabad,Mandal
Gujarat,Ahmedabad,Ahmedabad(Chimanbhai Patal Market Vasana)
Gujarat,Ahmedabad,Dhandhuka
Gujarat,Ahmedabad,Rampura
Gujarat,Ahmedabad,"Ahmedabad(Fruit Market, Naroda)"
Gujarat,Ahmedabad,Dhandkuka(Dholera)
Gujarat,Ahmedabad,Ranpur
Gujarat,Ahmedabad,Ahmedabad(Manekchowk)
Gujarat,Ahmedabad,Dholka
Gujarat,Ahmedabad,Sanad
Gujarat,Ahmedabad,Ahmedabad(Rajnagar sub yard)
Gujarat,Ahmedabad,Dholka(Koth)
Gujarat,Ahmedabad,Viramgam
Gujarat,Ahmedabad,Barvala
Gujarat,Ahmedabad,Dholka(Market Yard Veg)
Gujarat,Amreli,Amreli
Gujarat,Amreli,Dhari
Gujarat,Amreli,Rajula
Gujarat,Amreli,Babra
Gujarat,Amreli,Dhari(Chalala)
Gujarat,Amreli,Rajula(Dungar)
Gujarat,Amreli,Bagasara
Gujarat,Amreli,Khambha
Gujarat,Amreli,Savarkundla
Gujarat,Amreli,Damnagar
Gujarat,Amreli,Lathi
Gujarat,Amreli,Timbi
Gujarat,Anand,Anand
Gujarat,Anand,Borsad(Veg Yard Barsad)
Gujarat,Anand,"Petlad(Veg Yard, Petlad)"
Gujarat,Anand,"Anand(Veg,Yard,Anand)"
Gujarat,Anand,Khambhat
Gujarat,Anand,Sojitra
Gujarat,Anand,Anklav
Gujarat,Anand,Khambhat(Grain Market)
Gujarat,Anand,Tarapur
Gujarat,Anand,Borsad
Gujarat,Anand,Khambhat(Veg Yard Khambhat)
Gujarat,Anand,Umreth
Gujarat,Anand,Borsad(Asodar)
Gujarat,Anand,Petlad
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur)
Gujarat,Banaskanth,Dhanera
Gujarat,Banaskanth,Panthawada
Gujarat,Banaskanth,Amirgadh
Gujarat,Banaskanth,Dhanera(Samarwada)
Gujarat,Banaskanth,Thara
Gujarat,Banaskanth,Bhabhar
Gujarat,Banaskanth,"Dhanera(Veg,Yard Dhanera)"
Gujarat,Banaskanth,Thara(Shihori)
Gujarat,Banaskanth,Danta
Gujarat,Banaskanth,Diyodar
Gujarat,Banaskanth,Tharad
Gujarat,Banaskanth,Deesa
Gujarat,Banaskanth,Lakhani
Gujarat,Banaskanth,Tharad(Rah)
Gujarat,Banaskanth,Deesa(Bhildi)
Gujarat,Banaskanth,Palanpur
Gujarat,Banaskanth,Vadgam
Gujarat,Banaskanth,Deesa(Deesa Veg Yard)
Gujarat,Banaskanth,"Palanpur(Veg,Yard Palanpur)"
Gujarat,Banaskanth,Vav
Gujarat,Bharuch,Amod
Gujarat,Bharuch,Hasot
Gujarat,Bharuch,Jhagadiya
Gujarat,Bharuch,Ankleshwar
Gujarat,Bharuch,Hasot(Elav)
Gujarat,Bharuch,Valia
Gujarat,Bharuch,Baruch(Vagara)
Gujarat,Bharuch,Jambusar
Gujarat,Bharuch,Valia(Nethrang)
Gujarat,Bharuch,Bharuch
Gujarat,Bharuch,Jambusar(Kaavi)
Gujarat,Bhavnagar,Bhavnagar
Gujarat,Bhavnagar,Mahuva(Station Road)
Gujarat,Bhavnagar,Taleja
Gujarat,Bhavnagar,Gariyadar
Gujarat,Bhavnagar,Palitana
Gujarat,Botad,Botad
Gujarat,Botad,Botad(Haddad)
Gujarat,Botad,Gadada
Gujarat,Botad,Botad(Bhabarkot)
Gujarat,Dahod,Dahod
Gujarat,Dahod,Dahod(Veg. Market)
Gujarat,Dahod,Limkheda
Gujarat,Dahod,Dahod(Garbada)
Gujarat,Dahod,Davgadbaria(Piplod)
Gujarat,Dahod,Zalod(Sanjeli)
Gujarat,Dahod,Dahod(Himalaya)
Gujarat,Dahod,Devgadhbaria
Gujarat,Dahod,Zalod(Zalod)
Gujarat,Dahod,Dahod(Jesavada)
Gujarat,Dahod,Jhalod
Gujarat,Gandhinagar,Dehgam
Gujarat,Gandhinagar,"Kalol(Veg,Market,Kalol)"
Gujarat,Gandhinagar,Radheja
Gujarat,Gandhinagar,Dehgam(Rekhiyal)
Gujarat,Gandhinagar,Mansa
Gujarat,Gandhinagar,Randheja(Chiloda)
Gujarat,Gandhinagar,Kalol
Gujarat,Gandhinagar,Mansa(Manas Veg Yard)
Gujarat,Gandhinagar,Randheja(Veg.Market Gandhinagar)
Gujarat,Jamnagar,Bhanvad
Gujarat,Jamnagar,Jam Jodhpur
Gujarat,Jamnagar,Jodiya
Gujarat,Jamnagar,Bhatiya
Gujarat,Jamnagar,Jam Khambalia
Gujarat,Jamnagar,Kalawad
Gujarat,Jamnagar,Dhrol
Gujarat,Jamnagar,Jamnagar
Gujarat,Jamnagar,Lalpur
Gujarat,Junagarh,Bhesan
Gujarat,Junagarh,Kodinar(Dollasa)
Gujarat,Junagarh,Una
Gujarat,Junagarh,Junagadh
Gujarat,Junagarh,Malia Hatina
Gujarat,Junagarh,Vanthli
Gujarat,Junagarh,"Junagadh(Veg,Yard, Junagadh)"
Gujarat,Junagarh,Manavdar
Gujarat,Junagarh,Veraval
Gujarat,Junagarh,Keshod
Gujarat,Junagarh,Mangrol
Gujarat,Junagarh,Visavadar
